OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,NaturalGasAvailabe,SteamAvailabe
49967,Campus,University,NORTHEAST,47.65644,-122.31041,1900,111.0,0,9320156,0,9320156,College/University,9320156.0,,,,,,0.0,False,Compliant,,11140.56,False,True
49968,NonResidential,University,NORTHEAST,47.65395,-122.30584,1969,1.0,4,58779,0,58779,College/University,58779.0,,,,,,0.0,False,Compliant,,25.93,False,False
49970,NonResidential,Residence Hall,NORTHEAST,47.65718,-122.31632,2011,1.0,0,176225,0,176225,Residence Hall/Dormitory,176225.0,Parking,24000.0,,,91.0,5209463.5,False,Compliant,,103.65,True,False
49972,NonResidential,University,NORTHEAST,47.65356,-122.30613,1998,1.0,6,203030,0,203030,College/University,203030.0,,,,,,0.0,False,Compliant,,199.48,False,False
49979,NonResidential,Residence Hall,NORTHEAST,47.65577,-122.3153,1953,1.0,0,166991,0,166991,Residence Hall/Dormitory,166991.0,,,,,19.0,16591973.0,False,Compliant,,437.2,True,False
49980,NonResidential,Residence Hall,NORTHEAST,47.65447,-122.31733,1970,1.0,0,89392,0,89392,Residence Hall/Dormitory,89392.0,,,,,16.0,7483350.0,False,Compliant,,48.53,False,False
49983,NonResidential,Residence Hall,NORTHEAST,47.65176,-122.30756,2011,1.0,0,97040,0,97040,Residence Hall/Dormitory,97040.0,,,,,69.0,4075094.5,False,Compliant,,62.41,True,False
49985,NonResidential,Large Office,LAKE UNION,47.62384,-122.33941000000002,2014,1.0,6,427181,0,427181,Office,427181.0,Parking,169195.0,,,99.0,16810854.0,False,Compliant,,213.7,True,False
49986,Multifamily MR (5-9),Residence Hall,MAGNOLIA / QUEEN ANNE,47.65021,-122.36504,2015,1.0,5,69451,0,69451,Residence Hall/Dormitory,46828.0,Parking,23084.0,,,94.0,1725944.25,False,Compliant,,43.06,True,False
49987,Multifamily LR (1-4),Senior Care Community,NORTHWEST,47.67747,-122.32688,2015,1.0,4,47711,0,47711,Senior Care Community,47711.0,Parking,9052.0,,,99.0,1306865.25,False,Compliant,,28.94,True,False
49988,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.61329,-122.31981,2015,1.0,6,107556,0,107556,Multifamily Housing,70535.0,Parking,25400.0,,,56.0,2959096.5,False,Compliant,,18.9,False,False
49990,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,47.71986,-122.29297,2015,1.0,4,20128,0,20128,Multifamily Housing,21019.0,,,,,30.0,619545.125,False,Compliant,,4.32,False,False
49992,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,47.59785,-122.33235,2014,1.0,26,619416,0,619416,Multifamily Housing,430927.0,Parking,128823.0,Retail Store,16103.0,89.0,24655422.0,False,Compliant,,691.57,True,False
49994,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,47.61679,-122.3489,2014,1.0,26,269065,0,269065,Multifamily Housing,193927.0,Parking,75138.0,,,92.0,8459635.0,False,Compliant,,175.44,True,False
49996,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.62543,-122.32691,2013,3.0,6,83296,0,83296,Multifamily Housing,51785.0,Parking,13085.0,Food Service,837.0,83.0,2046159.25,False,Compliant,,42.81,True,False
49997,Multifamily LR (1-4),Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,47.64771,-122.37697,2014,1.0,4,112264,0,112264,Multifamily Housing,88304.0,,,,,62.0,2599724.75,False,Compliant,,17.77,False,False
49998,NonResidential,Self-Storage Facility,SOUTHEAST,47.57054,-122.29139,2014,1.0,4,101580,14004,87576,Self-Storage Facility,87576.0,,,,,,940844.6875,False,Compliant,,9.91,True,False
49999,Multifamily MR (5-9),Mid-Rise Multifamily,LAKE UNION,47.62006,-122.34733,2014,1.0,7,94909,0,94909,Multifamily Housing,67708.0,Parking,26243.0,,,97.0,2635043.25,False,Compliant,,59.33,True,False
50000,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,47.61357,-122.33249,2014,1.0,7,74509,0,74509,Multifamily Housing,53768.0,Parking,6857.0,,,20.0,4327891.5,False,Compliant,,184.15,True,False
50001,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.61488,-122.31442,2013,1.0,7,118800,0,118800,Multifamily Housing,80262.0,Parking,30528.0,,,71.0,4496225.5,False,Compliant,,127.53,True,False
50002,NonResidential,Other,NORTHEAST,47.66414,-122.31664,2014,1.0,3,33648,0,33648,Parking,83600.0,Automobile Dealership,39000.0,,,,1399581.625,False,Compliant,,9.76,False,False
50003,Multifamily LR (1-4),Low-Rise Multifamily,NORTHEAST,47.65725,-122.32007,2014,1.0,4,21267,0,21267,Multifamily Housing,19633.0,Parking,3765.0,,,100.0,777933.375,False,Compliant,,17.8,True,False
